Sample_ID	CA_R1	CA_R2	CA_R3	Sa	Sku	Smean	Sp	Sq	Ssk	Sv	Sz	Sdq	Sdr	Sal	Str
1	71	161	33	5.036	3.180	-0.009	29.860	6.375	0.162	93.640	123.500	2.308	165.200	11.030	0.528
2	21	137	76	4.904	5.911	0.000	47.820	7.287	0.907	43.260	91.080	2.754	242.500	9.961	0.581
3	66	22	105	8.026	6.003	-0.002	50.970	12.020	1.562	90.830	141.800	3.779	403.200	11.030	0.563
4	44	87	18	15.630	3.657	0.008	99.770	20.210	1.406	82.180	182.000	6.033	927.300	11.690	0.615
5	93	33	61	28.770	1.564	0.001	64.670	31.110	0.565	58.440	123.100	10.180	2715.000	11.690	0.560
6	38	22	33	35.330	1.275	-0.079	63.700	37.300	0.234	145.200	208.900	11.650	3451.000	11.030	0.515
7	198	12	235	4.491	3.234	-0.003	35.790	5.652	0.274	28.510	64.300	2.578	225.700	6.841	0.447
8	321	287	375	17.530	3.071	0.055	80.410	22.210	0.063	81.430	161.800	5.688	907.200	23.900	0.662
9	372	271	221	5.196	3.426	0.013	36.750	6.547	0.480	39.850	76.600	2.468	207.000	12.310	0.629
10	280	405	345	26.210	2.617	0.133	99.870	32.300	0.247	123.800	223.700	7.456	1497.000	26.140	0.644
11	97	123	84	3.407	3.647	-0.008	68.020	4.037	0.651	28.920	96.940	1.343	68.160	11.030	0.542
12	270	186	323	8.866	2.547	0.005	104.800	10.510	0.694	68.150	173.000	2.824	251.400	12.620	0.562
13	186	162	278	3.288	3.447	-0.003	56.380	3.961	0.410	29.560	85.930	1.350	65.610	12.620	0.604
14	243	330	207	11.140	2.853	-0.023	102.400	13.380	0.587	79.930	182.300	3.329	331.800	18.410	0.693
